REGION,NAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016
0,United States,309348193,311663358,313998379,316204908,318563456,320896618,323127513,987836,3973485,3936976,3940576,3963195,3983082,3977745,598691,2512442,2501531,2608019,2582448,2686546,2746013,389145,1461043,1435445,1332557,1380747,1296536,1231732,200943,854122,899576,873972,977801,1036626,999163,0,0,0,0,0,0,0,200943,854122,899576,873972,977801,1036626,999163
1,Northeast Region,55388056,55632766,55829059,55988771,56116791,56184737,56209510,163461,646276,637894,635756,632446,631372,629063,110759,470927,461002,479925,470058,485356,497539,52702,175349,176892,155831,162388,146016,131524,53577,240608,240943,237182,264132,274853,270317,-34556,-161832,-218286,-217757,-289510,-334070,-361502,19021,78776,22657,19425,-25378,-59217,-91185
2,Midwest Region,66978602,67153331,67332320,67543948,67726368,67838387,67941429,212620,834866,830674,830838,836507,832676,828188,140675,586914,584826,605226,597065,609113,612414,71945,247952,245848,225612,239442,223563,215774,25682,109806,118051,117163,130743,137900,133716,-48061,-181584,-184390,-128687,-176091,-240693,-231532,-22379,-71778,-66339,-11524,-45348,-102793,-97816
3,South Region,114863114,116061801,117299171,118424320,119696311,121039206,122319574,368743,1509606,1504983,1504795,1525289,1540952,1540837,228829,962730,960646,1011268,1006193,1049437,1075479,139914,546876,544337,493527,519096,491515,465358,76202,312655,340120,323012,360717,385121,367865,82260,322741,347470,295803,373235,449545,423042,158462,635396,687590,618815,733952,834666,790907
4,West Region,72118421,72815460,73537829,74247869,75023986,75834288,76657000,243012,982737,963425,969187,968953,978082,979657,118428,491871,495057,511600,509132,542640,560581,124584,490866,468368,457587,459821,435442,419076,45482,191053,200462,196615,222209,238752,227265,357,20675,55206,50641,92366,125218,169992,45839,211728,255668,247256,314575,363970,397257
3,Alabama,4785492,4799918,4815960,4829479,4843214,4853875,4863300,14231,59689,59066,57939,58906,59034,58556,11086,48817,48372,50845,49693,51407,52405,3145,10872,10694,7094,9213,7627,6151,1360,4816,4695,4179,4732,5110,4738,866,-1416,414,1619,420,-3114,-864,2226,3400,5109,5798,5152,1996,3874
4,Alaska,714031,722713,731089,736879,736705,737709,741894,2891,11707,11126,11347,11448,11314,11255,919,3937,3937,4047,4047,4315,4511,1972,7770,7189,7300,7401,6999,6744,574,1480,2723,2249,2208,2527,2030,1199,-795,-1549,-3223,-10408,-7882,-4587,1773,685,1174,-974,-8200,-5355,-2557
4,Arizona,6408312,6467163,6549634,6624617,6719993,6817565,6931071,20941,86106,85573,86097,86128,87258,87204,11486,48164,48756,50609,50249,54576,56564,9455,37942,36817,35488,35879,32682,30640,2373,10947,11686,12282,14290,15414,14861,4420,8535,33964,25538,41038,48341,61544,6793,19482,45650,37820,55328,63755,76405
3,Arkansas,2921995,2939493,2950685,2958663,2966912,2977853,2988248,9431,38451,38603,37976,38233,38212,37936,7016,29427,29745,30948,29954,29955,30581,2415,9024,8858,7028,8279,8257,7355,747,2635,2995,2806,3251,3469,3335,2711,5591,-868,-1265,-2864,-963,195,3458,8226,2127,1541,387,2506,3530
4,California,37332685,37676861,38011074,38335203,38680810,38993940,39250017,123306,509772,497438,499642,498910,503303,502848,57299,238419,239600,247773,244043,262984,273850,66007,271353,257838,251869,254867,240319,228998,28560,124150,122429,121944,138820,148098,142553,-17304,-42576,-43897,-51795,-41146,-77603,-109023,11256,81574,78532,70149,97674,70495,33530
4,Colorado,5048644,5118360,5189867,5267603,5349648,5448819,5540545,16793,65911,64733,64738,65713,66427,67453,7855,32009,32714,33597,33943,36381,37121,8938,33902,32019,31141,31770,30046,30332,2031,8238,10445,9364,10391,11505,10557,7797,25703,28485,36296,39052,56122,50216,9828,33941,38930,45660,49443,67627,60773
1,Connecticut,3579899,3589893,3593795,3596003,3591873,3584730,3576452,9495,37644,36847,36138,36155,36150,35848,6833,29324,29093,29789,29681,30025,30638,2662,8320,7754,6349,6474,6125,5210,3549,16004,15316,14804,16740,17439,17058,-265,-13242,-19031,-17204,-27123,-28939,-29880,3284,2762,-3715,-2400,-10383,-11500,-12822
3,Delaware,899816,907924,916993,925395,934948,944076,952065,2845,11303,11157,10889,10979,10882,10922,1843,7873,7694,8094,8078,8569,8945,1002,3430,3463,2795,2901,2313,1977,561,2175,2424,2239,2522,2658,2556,273,2632,3261,3417,3887,3989,3027,834,4807,5685,5656,6409,6647,5583
3,District of Columbia,605183,620477,635327,649165,659005,670377,681170,2246,9196,9232,9446,9337,9657,9779,1180,4671,4543,4809,4649,5166,5455,1066,4525,4689,4637,4688,4491,4324,788,3299,3692,3643,4019,4237,4116,1428,7069,6305,6022,691,2885,2276,2216,10368,9997,9665,4710,7122,6392
3,Florida,18849098,19096952,19344156,19582022,19888741,20244914,20612439,50876,213209,214037,212992,218344,221011,222793,41790,174530,173775,181652,181074,195790,201485,9086,38679,40262,31340,37270,25221,21308,23566,105659,107214,103303,116098,121235,118831,11864,101716,98825,97999,141388,207537,207155,35430,207375,206039,201302,257486,328772,325986
3,Georgia,9713521,9811610,9914668,9984938,10087231,10199398,10310371,32491,132623,131876,128652,129544,131318,130862,17202,71119,70427,74854,74855,78843,81525,15289,61504,61449,53798,54689,52475,49337,5488,21072,24082,21159,23558,25469,23831,3603,11328,16868,-5905,22868,33156,36781,9091,32400,40950,15254,46426,58625,60612
4,Hawaii,1363945,1377864,1391820,1406481,1416349,1425157,1428557,4645,19157,18895,19037,18954,18307,18507,2531,10073,10244,10342,10754,11864,12237,2114,9084,8651,8695,8200,6443,6270,1963,6443,8998,7434,7677,8596,7438,-420,-941,-3556,-1443,-5359,-6759,-10021,1543,5502,5442,5991,2318,1837,-2583
4,Idaho,1571010,1584143,1595911,1612011,1633532,1652828,1683140,5973,22957,22366,22705,22430,23001,22792,2567,11885,11902,12301,12546,12348,12496,3406,11072,10464,10404,9884,10653,10296,372,1313,1600,1458,1669,1848,1726,-371,152,-307,4786,8916,6748,17143,1,1465,1293,6244,10585,8596,18869
2,Illinois,12841578,12860012,12870798,12879505,12867544,12839047,12801539,41842,162419,160143,157488,157517,157493,155238,24054,101617,101298,104312,102715,107022,108040,17788,60802,58845,53176,54802,50471,47198,5864,26317,26875,26501,30024,32005,30934,-13461,-67239,-74709,-68697,-96297,-105619,-114144,-7597,-40922,-47834,-42196,-66273,-73614,-83210
2,Indiana,6490528,6516480,6537743,6569102,6595233,6612768,6633053,20958,83463,83073,83364,83532,83662,83267,13865,57897,58632,60721,59872,60852,60909,7093,25566,24441,22643,23660,22810,22358,2255,9263,9599,9519,10725,11258,11052,-2976,-8511,-12698,-247,-6723,-15870,-12135,-721,752,-3099,9272,4002,-4612,-1083
2,Iowa,3050738,3065223,3076310,3091930,3108030,3121997,3134693,9966,37851,38469,38805,39458,39563,39349,6868,28208,28048,29141,28926,28486,28739,3098,9643,10421,9664,10532,11077,10610,1009,4811,4984,5580,6165,6441,6336,-145,237,-4316,617,5,-3689,-3392,864,5048,668,6197,6170,2752,2944
